Concepts,Item in Wikidata,Type
Human arterial endothelial cell,,cell type
Human B cell,,cell type
Human bile duct,,anatomical structure
Human bile duct canaliculus,,anatomical structure
Human central vein,,blood vessel
Human cholangiocyte,,cell type
Human gallbladder,,organ
Human hepatic artery,,blood vessel
Human hepatic stellate cell,,cell type
Human hepatic vein,,blood vessel
Human hepatocyte,,cell type
Human Kupffer Cell,,cell type
Human Liver,,organ
Human NK cell,,cell type
Human NKT cell,,cell type
Human portal triad,,anatomical structure
Human portal vein,,blood vessel
Human sinusoidal endothelial cell,,cell type
Human T cell,,cell type
Human vascular endothelial cell,,cell type
