,Unnamed: 0,name,name_qid,found in taxon,found in taxon_qid,part_of,part_of_qid,subclass of,subclass of_qid
0,0,TGFBR2-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,FBXL7-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
1,1,SP8-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,FBXL7-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
2,2,NDNF-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,FBXL7-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
3,3,KIT-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,FBXL7-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
4,4,CPLX3-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,FBXL7-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
5,5,EYA4-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,FBXL7-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
6,6,ANKFN1-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
7,7,ARHGAP36-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
8,8,BAGE2-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
9,9,CNR1-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
10,10,DCN-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
11,11,CCDC141-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
12,12,DACH2-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
13,13,EGFEM1P-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
14,14,PCP4|IGFBP7-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
15,15,IQGAP2-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
16,16,ANGPT1-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
17,17,TAC3|TSHZ2-expressing human cerebral cortex MTG GABAergic interneuron,dontexist,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,dontexist
