,name,found in taxon,part_of,has_predicted_soma_location_in,subclass of,neuron_type
0,TGFBR2-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2,FBXL7-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
1,SP8-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2,FBXL7-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
2,NDNF-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1,FBXL7-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
3,KIT-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3|cortical_layer4,FBXL7-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
4,CPLX3-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2,FBXL7-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
5,EYA4-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer2|cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,FBXL7-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
6,ANKFN1-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1,VIP-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
7,ARHGAP36-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2,VIP-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
8,BAGE2-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2,VIP-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
9,CNR1-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3,VIP-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
10,DCN-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2,VIP-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
11,CCDC141-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3|cortical_layer4,VIP-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
12,DACH2-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3,VIP-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
13,EGFEM1P-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3|cortical_layer4,VIP-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
14,PCP4|IGFBP7-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer2|cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,VIP-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
15,IQGAP2-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,VIP-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
16,ANGPT1-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2,VIP-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
17,TAC3|TSHZ2-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer2|cortical_layer3|cortical_layer4|cortical_layer5,VIP-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
18,TAC3|COL15A1-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer2|cortical_layer3|cortical_layer4|cortical_layer5,VIP-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
19,LOC100421401-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3,VIP-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
20,HTR2C-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer2|cortical_layer3|cortical_layer4,VIP-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
21,KCNH8-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3,VIP-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
22,GGH-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3,VIP-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
23,C18orf42-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2,VIP-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
24,LRRC63-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer2|cortical_layer3,VIP-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
25,SLC7A11-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer2|cortical_layer3|cortical_layer4,VIP-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
26,PCP4|LINC01583-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3|cortical_layer4,VIP-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
27,NPY-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,NXPH1-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
28,HPGD-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,SST-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
29,NMU-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer4|cortical_layer5|cortical_layer6,SST-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
30,LOC100996671-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer5|cortical_layer6,SST-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
31,SPON1-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer5|cortical_layer6,SST-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
32,QRFPR-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer4|cortical_layer5|cortical_layer6,SST-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
33,SLC9A2-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer4|cortical_layer5,SST-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
34,LOC101929028-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3,SST-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
35,ADGRG6-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer3|cortical_layer4|cortical_layer5,SST-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
36,EYS-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer2|cortical_layer3|cortical_layer4,SST-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
37,TH-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer5|cortical_layer6,SST-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
38,CPED1-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer5|cortical_layer6,PVALB-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
39,ANKRD34B-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer5|cortical_layer6,PVALB-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
40,SPP1-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer4|cortical_layer5,PVALB-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
41,SLC9A9-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer2|cortical_layer3|cortical_layer4,PVALB-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
42,SULF1-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer4|cortical_layer5|cortical_layer6,PVALB-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
43,LYPD6-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer5|cortical_layer6,PVALB-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
44,COL15A1-expressing human cerebral cortex MTG GABAergic interneuron,Human,middle temporal gyrus,cortical_layer2|cortical_layer3|cortical_layer4|cortical_layer5,NXPH1-expressing human cerebral cortex MTG GABAergic interneuron,GABAergic
45,CBLN2-expressing human cerebral cortex MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer1|cortical_layer2,CUX2-expressing human MTG Glutamatergic neuron,Glutamatergic
46,PENK-expressing human cerebral cortex MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer2|cortical_layer3|cortical_layer4,CUX2-expressing human MTG Glutamatergic neuron,Glutamatergic
47,PALMD-expressing human cerebral cortex MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer2|cortical_layer3,CUX2-expressing human MTG Glutamatergic neuron,Glutamatergic
48,PXDN-expressing human cerebral cortex MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer5|cortical_layer6,SLC17A7-expressing human MTG Glutamatergic neuron,Glutamatergic
49,CCDC68-expressing human cerebral cortex MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer3|cortical_layer4,COBLL1-expressing human MTG Glutamatergic neuron,Glutamatergic
50,ANXA1-expressing human cerebral cortex MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer3|cortical_layer4|cortical_layer5,COBLL1-expressing human MTG Glutamatergic neuron,Glutamatergic
51,RMST-expressing human cerebral cortex MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer3|cortical_layer4|cortical_layer5,COBLL1-expressing human MTG Glutamatergic neuron,Glutamatergic
52,CUX2|NTNG-expressing human cerebral cortex MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer3|cortical_layer4|cortical_layer5,COBLL1-expressing human MTG Glutamatergic neuron,Glutamatergic
53,TWIST2-expressing human cerebral cortex MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer3|cortical_layer4|cortical_layer5,COBLL1-expressing human MTG Glutamatergic neuron,Glutamatergic
54,RBM20-expressing human cerebral cortex MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer4|cortical_layer5,TRABD2A-expressing human MTG Glutamatergic neuron,Glutamatergic
55,RPRM-expressing human cerebral cortex MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer4|cortical_layer5|cortical_layer6,TRABD2A-expressing human MTG Glutamatergic neuron,Glutamatergic
56,BARX2-expressing human cerebral cortex MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer4|cortical_layer5,TRABD2A-expressing human MTG Glutamatergic neuron,Glutamatergic
57,TNNT2-expressing human cerebral cortex MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer5|cortical_layer6,TRABD2A-expressing human MTG Glutamatergic neuron,Glutamatergic
58,ITGA11-expressing human cerebral cortex MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer4|cortical_layer5|cortical_layer6,TRABD2A-expressing human MTG Glutamatergic neuron,Glutamatergic
59,LOC105376457-expressing human cerebral cortex MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer4|cortical_layer5,SLC17A7-expressing human MTG Glutamatergic neuron,Glutamatergic
60,LOC101928196-expressing human cerebral cortex MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer5|cortical_layer6,OLFML2B-expressing human MTG Glutamatergic neuron,Glutamatergic
61,OLFML2B-expressing human cerebral cortex MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer5|cortical_layer6,OLFML2B-expressing human MTG Glutamatergic neuron,Glutamatergic
62,GAS2L3-expressing human cerebral cortex MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer5|cortical_layer6,OLFML2B-expressing human MTG Glutamatergic neuron,Glutamatergic
63,IL26-expressing human cerebral cortex MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer4|cortical_layer5|cortical_layer6,SLC17A7-expressing human MTG Glutamatergic neuron,Glutamatergic
64,SULF1-expressing human cerebral cortex MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer5|cortical_layer6,EGFEM1P-expressing human MTG Glutamatergic neuron,Glutamatergic
65,PIK3C2G-expressing human cerebral cortex MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer6,EGFEM1P-expressing human MTG Glutamatergic neuron,Glutamatergic
66,NR4A2-expressing human cerebral cortex MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer5|cortical_layer6,EGFEM1P-expressing human MTG Glutamatergic neuron,Glutamatergic
67,SLC15A5-expressing human cerebral cortex MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer6,EGFEM1P-expressing human MTG Glutamatergic neuron,Glutamatergic
68,NPFFR2-expressing human cerebral cortex MTG Glutamatergic neuron,Human,middle temporal gyrus,cortical_layer5|cortical_layer6,EGFEM1P-expressing human MTG Glutamatergic neuron,Glutamatergic
69,PCDH15-expressing human MTG Oligodendrocyte precursor cell,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,Human MTG Oligodendrocyte precursor cell,
70,SLC1A3-expressing human MTG astrocyte,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,FGFR3-expressing human MTG astrocyte,
71,MT1F-expressing human MTG astrocyte,Human,middle temporal gyrus,cortical_layer1|cortical_layer2,FGFR3-expressing human MTG astrocyte,
72,ENPP2-expressing human MTG Oligodendrocyte,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,Human MTG Oligodendrocyte,
73,EMCN-expressing human cerebral cortex MTG endothelial cell,Human,middle temporal gyrus,cortical_layer2|cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,Human cerebral cortex MTG endothelial cell,
74,CSF1R-expressing human MTG Microglial cell,Human,middle temporal gyrus,cortical_layer1|cortical_layer2|cortical_layer3|cortical_layer4|cortical_layer5|cortical_layer6,Human MTG Microglial cell,
