,name,name_qid,found in taxon,found in taxon_qid,part_of,part_of_qid,subclass of,subclass of_qid
0,TGFBR2-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,FBXL7-expressing human cerebral cortex MTG GABAergic interneuron,
1,SP8-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,FBXL7-expressing human cerebral cortex MTG GABAergic interneuron,
2,NDNF-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,FBXL7-expressing human cerebral cortex MTG GABAergic interneuron,
3,KIT-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,FBXL7-expressing human cerebral cortex MTG GABAergic interneuron,
4,CPLX3-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,FBXL7-expressing human cerebral cortex MTG GABAergic interneuron,
5,EYA4-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,FBXL7-expressing human cerebral cortex MTG GABAergic interneuron,
6,ANKFN1-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,
7,ARHGAP36-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,
8,BAGE2-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,
9,CNR1-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,
10,DCN-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,
11,CCDC141-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,
12,DACH2-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,
13,EGFEM1P-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,
14,PCP4|IGFBP7-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,
15,IQGAP2-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,
16,ANGPT1-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,
17,TAC3|TSHZ2-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,
18,TAC3|COL15A1-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,
19,LOC100421401-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,
20,HTR2C-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,
21,KCNH8-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,
22,GGH-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,
23,C18orf42-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,
24,LRRC63-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,
25,SLC7A11-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,
26,PCP4|LINC01583-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,VIP-expressing human cerebral cortex MTG GABAergic interneuron,
27,NPY-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,NXPH1-expressing human cerebral cortex MTG GABAergic interneuron,
28,HPGD-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,SST-expressing human cerebral cortex MTG GABAergic interneuron,
29,NMU-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,SST-expressing human cerebral cortex MTG GABAergic interneuron,
30,LOC100996671-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,SST-expressing human cerebral cortex MTG GABAergic interneuron,
31,SPON1-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,SST-expressing human cerebral cortex MTG GABAergic interneuron,
32,QRFPR-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,SST-expressing human cerebral cortex MTG GABAergic interneuron,
33,SLC9A2-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,SST-expressing human cerebral cortex MTG GABAergic interneuron,
34,LOC101929028-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,SST-expressing human cerebral cortex MTG GABAergic interneuron,
35,ADGRG6-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,SST-expressing human cerebral cortex MTG GABAergic interneuron,
36,EYS-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,SST-expressing human cerebral cortex MTG GABAergic interneuron,
37,TH-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,SST-expressing human cerebral cortex MTG GABAergic interneuron,
38,CPED1-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,PVALB-expressing human cerebral cortex MTG GABAergic interneuron,
39,ANKRD34B-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,PVALB-expressing human cerebral cortex MTG GABAergic interneuron,
40,SPP1-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,PVALB-expressing human cerebral cortex MTG GABAergic interneuron,
41,SLC9A9-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,PVALB-expressing human cerebral cortex MTG GABAergic interneuron,
42,SULF1-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,PVALB-expressing human cerebral cortex MTG GABAergic interneuron,
43,LYPD6-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,PVALB-expressing human cerebral cortex MTG GABAergic interneuron,
44,COL15A1-expressing human cerebral cortex MTG GABAergic interneuron,,Human,Q15978631,middle temporal gyrus,Q71290986,NXPH1-expressing human cerebral cortex MTG GABAergic interneuron,
45,CBLN2-expressing human cerebral cortex MTG Glutamatergic neuron,,Human,Q15978631,middle temporal gyrus,Q71290986,CUX2-expressing human MTG Glutamatergic neuron,
46,PENK-expressing human cerebral cortex MTG Glutamatergic neuron,,Human,Q15978631,middle temporal gyrus,Q71290986,CUX2-expressing human MTG Glutamatergic neuron,
47,PALMD-expressing human cerebral cortex MTG Glutamatergic neuron,,Human,Q15978631,middle temporal gyrus,Q71290986,CUX2-expressing human MTG Glutamatergic neuron,
48,PXDN-expressing human cerebral cortex MTG Glutamatergic neuron,,Human,Q15978631,middle temporal gyrus,Q71290986,SLC17A7-expressing human MTG Glutamatergic neuron,
49,CCDC68-expressing human cerebral cortex MTG Glutamatergic neuron,,Human,Q15978631,middle temporal gyrus,Q71290986,COBLL1-expressing human MTG Glutamatergic neuron,
50,ANXA1-expressing human cerebral cortex MTG Glutamatergic neuron,,Human,Q15978631,middle temporal gyrus,Q71290986,COBLL1-expressing human MTG Glutamatergic neuron,
51,RMST-expressing human cerebral cortex MTG Glutamatergic neuron,,Human,Q15978631,middle temporal gyrus,Q71290986,COBLL1-expressing human MTG Glutamatergic neuron,
52,CUX2|NTNG-expressing human cerebral cortex MTG Glutamatergic neuron,,Human,Q15978631,middle temporal gyrus,Q71290986,COBLL1-expressing human MTG Glutamatergic neuron,
53,TWIST2-expressing human cerebral cortex MTG Glutamatergic neuron,,Human,Q15978631,middle temporal gyrus,Q71290986,COBLL1-expressing human MTG Glutamatergic neuron,
54,RBM20-expressing human cerebral cortex MTG Glutamatergic neuron,,Human,Q15978631,middle temporal gyrus,Q71290986,TRABD2A-expressing human MTG Glutamatergic neuron,
55,RPRM-expressing human cerebral cortex MTG Glutamatergic neuron,,Human,Q15978631,middle temporal gyrus,Q71290986,TRABD2A-expressing human MTG Glutamatergic neuron,
56,BARX2-expressing human cerebral cortex MTG Glutamatergic neuron,,Human,Q15978631,middle temporal gyrus,Q71290986,TRABD2A-expressing human MTG Glutamatergic neuron,
57,TNNT2-expressing human cerebral cortex MTG Glutamatergic neuron,,Human,Q15978631,middle temporal gyrus,Q71290986,TRABD2A-expressing human MTG Glutamatergic neuron,
58,ITGA11-expressing human cerebral cortex MTG Glutamatergic neuron,,Human,Q15978631,middle temporal gyrus,Q71290986,TRABD2A-expressing human MTG Glutamatergic neuron,
59,LOC105376457-expressing human cerebral cortex MTG Glutamatergic neuron,,Human,Q15978631,middle temporal gyrus,Q71290986,SLC17A7-expressing human MTG Glutamatergic neuron,
